a,a,a,a,a,a,a,a,a,a,a,a,a,a
-1,0.282051282,-2,-2,0,0,0,0.052631579,-1,-5,0.111111111,-1,0,0
-1,0.051282051,-3,-2,0,0,0,0.026315789,-2,-6,0.222222222,-1,0,1
-1,0.051282051,-3,-3,0,0,0,0,-1,-12,0.777777778,-2,1,0
-2,0.102564103,-2,-2,0,0,0,0.026315789,-1,-44,0.333333333,-1,0,1
-1,0.115384615,-2,-3,0,0,0,0.026315789,-1,-45,0.666666667,-3,1,1
-1,0.179487179,-2,-2,0,0,0,0,-1,-46,0.111111111,-1,0,0
-1,0.294871795,-2,-2,0,0,0,0.026315789,-2,-5,0.111111111,-1,0,0
-1,0.153846154,-2,-2,0,0,0,0.210526316,-2,-27,1,-2,0,1
-1,0.41025641,-1,-1,0,0,0,0,-1,-5,0,-1,0,1
-1,0.08974359,-2,-2,0.05,0.461538462,0.058823529,0.368421053,-1,-5,1,-2,0,1
-1,0.025641026,-3,-1,0,0,0,0,-1,-22,0.444444444,-3,0,1
-1,0.051282051,-3,-2,0.05,0,0,0.052631579,-1,-47,0.888888889,-2,0,1
-1,0.064102564,-3,-2,0,0,0.058823529,0.052631579,-2,-5,0.666666667,-3,0,1
-2,0.217948718,-2,-2,0,0,0,0.026315789,-2,-5,0.111111111,-1,0,0
-1,0.230769231,-2,-2,0,0,0,0.236842105,-1,-48,0.666666667,-3,0,1
-1,0.102564103,-2,-3,0,0,0,0.184210526,-1,-7,0.777777778,-2,1,1
-1,0.038461538,-3,-1,0,0,0,0.026315789,-1,-12,0.555555556,-3,0,1
-1,0.08974359,-2,-3,0,0,0,0.236842105,-1,-21,0.777777778,-2,1,1
-1,0.679487179,-1,-2,0,0,0,0.315789474,-2,-27,0.666666667,-3,0,0
-2,0.025641026,-3,-3,0,0,0,0,-1,-10,0.666666667,-3,1,0
-1,0.269230769,-2,-3,0,0,0,0.052631579,-1,-49,0,-1,1,1
-1,0.615384615,-1,-3,0,0,0,0.078947368,-1,-50,0,-1,1,0
-2,0.461538462,-1,-3,0,0,0,0,-2,-32,0,-1,1,0
-2,0.333333333,-2,-4,0,0,0,0,-2,-6,0,-1,0,0
-1,0.012820513,-3,-2,0,0,0,0.026315789,-2,-6,0.333333333,-1,0,1
-1,0.076923077,-3,-2,0,0,0,0.026315789,-1,-5,0.111111111,-1,0,0
-1,0.153846154,-2,-2,0,0,0,0.026315789,-1,-51,0.111111111,-1,0,0
-2,0.269230769,-2,-3,0,0,0,0,-1,-52,0,-1,1,1
-1,0.076923077,-3,-3,0,0.076923077,0.117647059,0.210526316,-1,-53,0.555555556,-3,1,1
-1,0.153846154,-2,-3,0,0,0,0,-1,-16,0.333333333,-1,1,0
-1,0.166666667,-2,-3,0,0,0,0,-2,-6,0.444444444,-3,1,0
-2,0.269230769,-2,-3,0,0,0,0.026315789,-1,-54,0.333333333,-1,1,0
-1,0.525641026,-1,-2,0,0,0,0.368421053,-1,-5,0.888888889,-2,0,1
-1,0.320512821,-2,-3,0,0,0,0.026315789,-1,-3,0,-1,1,0
-1,0.038461538,-3,-2,0,0,0,0.078947368,-1,-12,0.888888889,-2,0,1
-1,0.256410256,-2,-3,0,0,0,0.131578947,-2,-27,0.333333333,-1,1,1
-1,0.205128205,-2,-3,0,0,0,0,-1,-1,0.444444444,-3,1,0
-1,0.192307692,-2,-2,0,0,0,0.131578947,-1,-55,0.444444444,-3,0,1
-1,0.243589744,-2,-2,0,0,0,0.078947368,-1,-10,0.111111111,-1,0,0
-1,0.307692308,-2,-3,0,0,0,0.026315789,-1,-56,0.111111111,-1,1,1
-1,0.294871795,-2,-2,0,0.076923077,0,0.263157895,-1,-3,0.888888889,-2,0,1
-1,0.051282051,-3,-2,0,0,0,0,-1,-31,0.333333333,-1,0,1
-1,0.192307692,-2,-2,0,0.923076923,0.117647059,0.736842105,-1,-13,0.777777778,-2,0,1
-1,0.166666667,-2,-2,0,0,0,0.026315789,-2,-6,0.666666667,-3,0,0
-2,0.153846154,-2,-1,0,0,0,0.026315789,-1,-57,0.111111111,-1,0,0
-1,0.166666667,-2,-3,0,0,0,0.342105263,-1,-5,1,-2,1,1
-1,0.115384615,-2,-2,0,0,0,0.078947368,-1,-3,0.888888889,-2,0,1
-1,0.487179487,-1,-2,0,0,0,0.210526316,-1,-5,0.888888889,-2,0,0
-1,0.435897436,-1,-3,0,0,0,0.078947368,-2,-6,0.888888889,-2,1,0
-1,0.192307692,-2,-2,0,0,0,0.5,-1,-5,1,-2,0,1
-2,0.58974359,-1,-3,0,0,0,0.052631579,-2,-58,0,-1,1,0
-1,0.051282051,-3,-3,0,0,0,0.105263158,-1,-49,0.555555556,-3,1,1
-1,0.307692308,-2,-3,0,0,0,0.157894737,-1,-49,0.222222222,-1,1,0
-2,0.08974359,-2,-3,0,0,0,0.052631579,-1,-5,0.333333333,-1,1,0
-1,0.153846154,-2,-3,0,0,0,0.026315789,-2,-24,0.111111111,-1,1,0
-1,0.128205128,-2,-3,0,0,0,0.052631579,-1,-5,0,-1,1,0
-2,0.243589744,-2,-1,0,0,0,0.052631579,-2,-59,0.111111111,-1,0,0
-1,0.128205128,-2,-3,0,0,0,0,-2,-60,0.111111111,-1,1,1
-2,0.076923077,-3,-2,0,0,0,0,-2,-6,0.111111111,-1,0,0
-2,0.141025641,-2,-3,0,0.076923077,0,0.263157895,-1,-12,0.333333333,-1,1,1
-1,0.333333333,-2,-3,0,0,0,0.052631579,-2,-6,0.111111111,-1,1,1
-2,0.153846154,-2,-4,0,0,0,0.105263158,-1,-15,0.444444444,-3,0,1
-1,0.179487179,-2,-2,0,0,0,0.078947368,-1,-3,0.666666667,-3,0,1
-1,0.166666667,-2,-3,0,0,0,0.052631579,-2,-58,0.222222222,-1,1,1
-1,0.166666667,-2,-2,0,0,0,0.026315789,-2,-61,0.111111111,-1,0,0
-1,0.525641026,-1,-3,0,0,0,0.026315789,-1,-3,0.111111111,-1,1,1
-2,0.346153846,-1,-3,0,0,0,0.105263158,-1,-5,0.333333333,-1,1,0
-2,0.025641026,-3,-2,0.05,0,0,0.026315789,-1,-5,1,-2,0,0
-2,0.320512821,-2,-3,0,0,0,0,-2,-32,0,-1,1,0
-1,0.256410256,-2,-2,0.05,0.076923077,0,0.236842105,-1,-3,0.777777778,-2,0,1
-1,0.179487179,-2,-2,0,0,0,0.289473684,-1,-62,0.555555556,-3,0,1
-1,0.192307692,-2,-2,0,0,0,0.210526316,-2,-63,0.444444444,-3,0,1
-2,0.166666667,-2,-2,0,0,0,0,-1,-34,0.222222222,-1,0,1
-2,0.192307692,-2,-2,0,0,0,0.184210526,-1,-3,0.888888889,-2,0,1
-1,0.115384615,-2,-2,0,0,0,0.052631579,-1,-22,0.888888889,-2,0,1
-2,0.025641026,-3,-2,0,0,0,0,-1,-12,0.555555556,-3,0,0
-2,0.102564103,-2,-3,0,0,0,0,-2,-64,0.555555556,-3,1,0
-2,0.551282051,-1,-2,0,0,0,0.026315789,-1,-65,0,-1,0,1
-1,0.435897436,-1,-1,0,0,0,0.342105263,-1,-66,0.666666667,-3,0,1
-1,0.576923077,-1,-4,0,0,0,0.026315789,-1,-5,0,-1,0,0
-2,0.179487179,-2,-2,0,0,0,0.105263158,-1,-5,1,-2,0,1
-1,0.141025641,-2,-4,0,0,0,0.026315789,-1,-12,0.333333333,-1,0,0
-2,0.358974359,-1,-1,0,0,0,0.026315789,-1,-67,0.111111111,-1,0,0
-2,0.102564103,-2,-2,0,0,0,0.052631579,-2,-68,0.333333333,-1,0,1
-1,0.474358974,-1,-2,0,0,0,0.078947368,-2,-6,0,-1,0,0
-2,0.153846154,-2,-3,0,0,0,0.078947368,-1,-69,0.666666667,-3,1,1
-1,0.153846154,-2,-2,0,0,0,0.026315789,-1,-70,0.666666667,-3,0,0
-1,0.384615385,-1,-3,0,0,0,0.052631579,-2,-6,0.111111111,-1,1,0
-1,0.051282051,-3,-2,0,0,0,0.026315789,-1,-5,0.111111111,-1,0,0
-1,0.358974359,-1,-3,0,0,0,0.157894737,-1,-13,0,-1,1,1
-2,0.397435897,-1,-3,0,0,0,0.157894737,-1,-57,0.555555556,-3,1,0
-1,0.166666667,-2,-3,0,0,0,0,-1,-71,0.444444444,-3,1,0
-1,0.08974359,-2,-2,0,0,0,0.026315789,-2,-6,0.111111111,-1,0,1
-1,0.064102564,-3,-4,0,0,0,0,-1,-10,0.222222222,-1,0,0
-2,0.179487179,-2,-2,0,0,0,0.131578947,-1,-72,0.666666667,-3,0,0
-1,0.435897436,-1,-4,0,0,0,0.052631579,-2,-73,0,-1,0,0
-1,0.564102564,-1,-2,0,0,0,0.210526316,-1,-3,0.333333333,-1,0,0
-2,0.243589744,-2,-3,0,0,0,0.157894737,-1,-3,1,-2,1,0
-1,0.474358974,-1,-3,0,0,0,0.026315789,-1,-12,0,-1,1,0
-1,0.166666667,-2,-4,0,0,0,0.210526316,-1,-5,0.888888889,-2,0,1
-1,0.128205128,-2,-2,0,0,0,0.157894737,-2,-58,0.555555556,-3,0,1
-1,0.461538462,-1,-4,0,0,0,0.052631579,-1,-74,0,-1,0,0
-1,0.512820513,-1,-4,0,0,0,0,-1,-14,0.111111111,-1,0,0
-1,0.769230769,-1,-3,0,0,0,0.026315789,-2,-68,0,-1,1,1
-1,0.487179487,-1,-3,0,0,0,0,-1,-3,0,-1,1,0
-1,0.076923077,-3,-1,0,0,0,0,-1,-74,0.111111111,-1,0,0
-1,0.256410256,-2,-2,0.1,0.153846154,0.058823529,0.578947368,-1,-75,0.777777778,-2,0,1
-1,0.051282051,-3,-2,0,0,0,0.026315789,-1,-21,0.444444444,-3,0,1
-1,0.371794872,-1,-2,0,0,0,0.605263158,-2,-27,0.777777778,-2,0,1
-1,0.064102564,-3,-2,0,0,0,0,-2,-6,0.111111111,-1,0,1
-1,0.5,-1,-4,0,0,0,0.026315789,-1,-13,0,-1,0,0
-2,0.256410256,-2,-3,0,0,0,0.052631579,-1,-3,0.444444444,-3,1,1
-1,0.615384615,-1,-2,0,0,0,0.078947368,-1,-76,0,-1,0,0
-1,0.346153846,-1,-3,0,0,0,0.210526316,-2,-29,0.333333333,-1,1,1
-1,0.179487179,-2,-2,0,0,0,0.342105263,-1,-44,1,-2,0,1
-1,0.243589744,-2,-2,0,0,0,0.052631579,-2,-6,0.888888889,-2,0,1
-1,0.269230769,-2,-3,0,0,0,0,-1,-16,0.333333333,-1,1,1
-1,0.102564103,-2,-2,0,0,0,0.236842105,-1,-48,0.888888889,-2,0,1
-1,0.346153846,-1,-3,0,0,0,0.052631579,-1,-77,0.222222222,-1,1,0
-1,0.064102564,-3,-2,0,0,0,0,-1,-4,0.222222222,-1,0,1
-1,0.205128205,-2,-2,0,0,0,0.052631579,-2,-6,0.111111111,-1,0,0
-2,0.064102564,-3,-2,0,0,0,0.026315789,-2,-6,0.333333333,-1,0,0
-1,0.230769231,-2,-1,0,0,0,0.052631579,-2,-6,0.222222222,-1,0,1
-1,0.41025641,-1,-3,0,0,0,0.026315789,-1,-78,0,-1,1,0
-2,0.243589744,-2,-3,0,0,0,0,-2,-79,0.222222222,-1,1,0
-1,0.333333333,-2,-3,0,0,0,0.105263158,-2,-6,0.333333333,-1,1,0
-2,0.217948718,-2,-2,0,0.076923077,0,0.605263158,-1,-66,0.888888889,-2,0,1
-1,0.076923077,-3,-1,0,0,0,0.131578947,-1,-5,0.444444444,-3,0,1
-1,0.102564103,-2,-2,0,0,0,0.052631579,-1,-80,1,-2,0,1
-1,0.115384615,-2,-2,0,0,0,0,-2,-81,0.111111111,-1,0,0
-2,0.128205128,-2,-2,0,0,0,0,-1,-82,0.777777778,-2,0,0
-1,0.320512821,-2,-3,0,0,0,0.289473684,-1,-5,0.444444444,-3,1,1
-2,0.128205128,-2,-3,0,0,0,0.184210526,-1,-66,0.888888889,-2,1,1
-1,0.256410256,-2,-2,0,0,0,0.052631579,-1,-13,0,-1,0,0
-1,0.115384615,-2,-3,0,0,0,0.052631579,-2,-83,0.333333333,-1,1,0
-2,0.128205128,-2,-2,0,0,0,0.026315789,-1,-5,0.888888889,-2,0,0
-1,0.487179487,-1,-3,0,0,0,0.184210526,-1,-11,0,-1,1,1
-1,0.256410256,-2,-2,0,0,0,0.394736842,-1,-3,0.888888889,-2,0,0
-1,0.128205128,-2,-2,0,0,0,0.052631579,-2,-27,0.444444444,-3,0,0
-1,0.346153846,-1,-2,0,0,0,0.078947368,-1,-5,0.555555556,-3,0,0
-1,0.128205128,-2,-4,0,0,0,0,-2,-84,0.111111111,-1,0,0
-1,0.551282051,-1,-3,0,0,0,0.026315789,-1,-5,0,-1,1,0
-2,0.423076923,-1,-3,0,0,0,0,-2,-68,0,-1,1,1
-1,0.423076923,-1,-3,0,0,0,0,-2,-6,0.111111111,-1,1,0
-1,0.230769231,-2,-1,0,0,0,0.026315789,-2,-27,0,-1,0,1
-1,0.384615385,-1,-2,0,0,0,0,-1,-85,0,-1,0,0
-1,0.243589744,-2,-3,0,0,0,0.105263158,-1,-5,0.222222222,-1,1,1
-2,0.153846154,-2,-2,0,0,0,0.052631579,-1,-12,0.666666667,-3,0,0
-2,0.294871795,-2,-2,0,0,0,0.131578947,-2,-6,0.555555556,-3,0,0
-1,0.115384615,-2,-2,0,0,0,0.289473684,-1,-86,1,-2,0,1
-1,0.243589744,-2,-2,0,0,0,0,-2,-6,0,-1,0,0
-1,0.192307692,-2,-1,0,0,0,0.105263158,-1,-1,0.333333333,-1,0,1
-1,0.461538462,-1,-2,0,0,0,0.289473684,-1,-87,0.888888889,-2,0,0
-1,0.064102564,-3,-2,0,0,0,0.052631579,-1,-88,0.888888889,-2,0,0
-2,0.102564103,-2,-2,0,0,0,0.052631579,-1,-5,0.333333333,-1,0,1
-1,0.294871795,-2,-2,0,0,0,0,-2,-6,0,-1,0,0
-1,0.435897436,-1,-3,0,0,0,0,-1,-89,0,-1,1,0
-1,0.320512821,-2,-3,0,0,0,0.342105263,-1,-13,0.333333333,-1,1,1
-1,0.435897436,-1,-2,0,0,0,0,-1,-31,0.333333333,-1,0,0
-1,0.128205128,-2,-3,0,0,0,0.026315789,-1,-5,0,-1,1,0
-1,0.153846154,-2,-2,0,0,0.117647059,0.289473684,-2,-6,0.888888889,-2,0,1
-1,0.128205128,-2,-3,0,0,0,0.026315789,-1,-81,0.444444444,-3,1,0
-1,0.051282051,-3,-2,0,0,0,0,-1,-21,0.333333333,-1,0,0
-1,0.153846154,-2,-2,0,0,0,0.105263158,-1,-13,0.111111111,-1,0,0
-1,0.08974359,-2,-4,0,0,0,0.105263158,-1,-4,0.333333333,-1,0,0
-1,0.166666667,-2,-3,0,0,0,0,-1,-74,0.777777778,-2,1,1
-1,0.243589744,-2,-3,0,0,0,0,-1,-12,0.111111111,-1,1,1
-1,0.179487179,-2,-2,0,0.076923077,0,0.368421053,-1,-41,0.888888889,-2,0,0
-1,0.102564103,-2,-2,0,0.076923077,0,0.105263158,-2,-27,0.777777778,-2,0,0
-1,0.448717949,-1,-3,0,0,0,0.026315789,-2,-6,0,-1,1,0
-1,0.128205128,-2,-2,0,0,0,0.657894737,-1,-5,0.777777778,-2,0,1
-1,0.333333333,-2,-3,0,0,0,0.210526316,-2,-6,0.444444444,-3,1,1
-1,0.08974359,-2,-2,0,0,0,0,-1,-12,0.222222222,-1,0,0
-1,0.051282051,-3,-3,0,0,0.058823529,0.026315789,-2,-90,0.777777778,-2,1,1
-2,0.243589744,-2,-1,0,0,0,0,-2,-6,0,-1,0,0
-2,0.282051282,-2,-1,0,0,0,0.078947368,-1,-13,0.111111111,-1,0,0
-1,0.230769231,-2,-3,0,0,0,0.210526316,-1,-11,0.666666667,-3,1,1
-1,0.153846154,-2,-3,0,0,0,0.105263158,-1,-91,0.111111111,-1,1,0
-1,0.051282051,-3,-2,0,0,0,0.078947368,-2,-92,0.888888889,-2,0,1
-2,0.076923077,-3,-3,0,0,0,0.026315789,-2,-6,0.666666667,-3,1,1
-1,0.115384615,-2,-2,0,0,0,0.078947368,-2,-93,0.111111111,-1,0,1
-2,0.166666667,-2,-4,0,0,0,0,-2,-6,0.111111111,-1,0,0
-1,0.064102564,-3,-4,0,0,0.058823529,0.026315789,-1,-5,0.555555556,-3,0,1
-2,0.064102564,-3,-3,0,0,0.235294118,0.131578947,-1,-5,0.444444444,-3,1,1
-1,0.076923077,-3,-4,0,0,0,0,-2,-27,0.777777778,-2,0,0
-1,0.141025641,-2,-2,0,0,0,0.026315789,-2,-6,0.222222222,-1,0,0
-1,0.025641026,-3,-2,0,0,0,0.026315789,-1,-20,0.777777778,-2,0,1
-1,0.153846154,-2,-2,0,0,0,0.052631579,-1,-20,0.555555556,-3,0,1
-1,0.269230769,-2,-1,0,0,0,0,-1,-94,0,-1,0,0
-1,0.115384615,-2,-2,0,0,0,0.105263158,-1,-5,0.333333333,-1,0,0
-1,0.166666667,-2,-3,0,0,0,0.052631579,-2,-5,0.333333333,-1,1,0
-2,0.243589744,-2,-2,0,0,0,0.052631579,-1,-5,0,-1,0,0
-1,0.025641026,-3,-2,0,0,0,0,-1,-7,0.777777778,-2,0,0
-1,0.051282051,-3,-4,0,0,0.058823529,0,-1,-10,0.666666667,-3,0,0
-2,0.435897436,-1,-2,0,0,0,0,-1,-95,0,-1,0,0
-2,0.064102564,-3,-2,0,0,0,0,-1,-20,0.333333333,-1,0,1
-2,0.384615385,-1,-2,0,0,0,0,-1,-52,0.111111111,-1,0,0
-1,0.615384615,-1,-2,0,0,0,0.210526316,-1,-48,0.555555556,-3,0,1
-1,0.08974359,-2,-3,0,0,0,0,-1,-71,0.444444444,-3,1,0
-1,0.115384615,-2,-3,0,0,0,0,-1,-12,0.555555556,-3,1,1
-1,0.153846154,-2,-2,0,0,0,0.289473684,-1,-96,0.666666667,-3,0,1
-1,0.051282051,-3,-2,0,0.076923077,0.058823529,0.078947368,-2,-6,1,-2,0,1
-2,0.051282051,-3,-3,0,0,0,0.026315789,-1,-21,0.222222222,-1,1,0
-1,0.217948718,-2,-2,0,0,0,0.052631579,-1,-5,1,-2,0,0
-1,0.179487179,-2,-3,0,0,0,0.052631579,-1,-5,0.333333333,-1,1,0
-2,0.294871795,-2,-2,0,0,0,0.052631579,-2,-15,0.222222222,-1,0,0
-2,0.08974359,-2,-1,0,0,0,0,-1,-52,0.111111111,-1,0,0
-1,0.333333333,-2,-2,0,0,0,0.631578947,-2,-97,0.666666667,-3,0,0
-1,0.435897436,-1,-2,0,0,0,0.078947368,-1,-3,0.555555556,-3,0,1
-1,0.320512821,-2,-2,0,0,0,0,-1,-46,0,-1,0,0
-1,0.243589744,-2,-3,0,0,0,0.078947368,-1,-5,0,-1,1,0
-1,0.128205128,-2,-2,0,0,0,0.078947368,-2,-27,0.333333333,-1,0,1
-1,0.666666667,-1,-3,0,0,0,0.026315789,-2,-6,0,-1,1,0
-1,0.461538462,-1,-3,0,0,0,0.157894737,-1,-3,0.111111111,-1,1,1
-1,0.358974359,-1,-3,0,0,0,0.078947368,-1,-5,0.333333333,-1,1,0
-1,0.038461538,-3,-2,0,0,0,0,-2,-59,0.888888889,-2,0,1
-1,0.102564103,-2,-2,0,0,0,0.026315789,-2,-6,0.777777778,-2,0,1
-1,0.256410256,-2,-4,0,0,0,0.078947368,-1,-57,0,-1,0,1
-1,0.205128205,-2,-3,0,0,0,0.131578947,-2,-6,0.333333333,-1,1,0
-1,0.012820513,-3,-2,0,0,0,0.026315789,-1,-12,0.444444444,-3,0,1
-1,0.205128205,-2,-2,0,0,0,0.131578947,-2,-33,0.333333333,-1,0,0
-1,0.064102564,-3,-3,0,0,0,0,-1,-52,0.444444444,-3,1,1
-1,0.205128205,-2,-2,0,0,0,0.131578947,-1,-34,0.333333333,-1,0,1
-1,0.153846154,-2,-2,0,0,0,0.052631579,-1,-5,0,-1,0,0
-1,0.269230769,-2,-2,0,0,0,0.157894737,-1,-41,0.222222222,-1,0,1
-1,0.076923077,-3,-1,0,0,0,0,-1,-98,0.222222222,-1,0,0
-1,0.192307692,-2,-3,0,0,0,0.026315789,-2,-68,0.222222222,-1,1,1
-1,0.512820513,-1,-3,0,0,0,0.052631579,-1,-99,0.222222222,-1,1,0
-2,0.038461538,-3,-2,0,0,0,0,-2,-6,0.555555556,-3,0,0
-1,0.038461538,-3,-2,0,0,0,0.026315789,-1,-100,0.444444444,-3,0,0
-1,0.064102564,-3,-2,0,0,0.058823529,0.105263158,-2,-27,0.777777778,-2,0,1
-1,0.564102564,-1,-3,0,0,0,0,-1,-91,0,-1,1,0
-1,0.115384615,-2,-2,0.05,0,0.058823529,0.105263158,-2,-27,0.777777778,-2,0,1
-1,0.243589744,-2,-3,0,0,0,0.131578947,-1,-15,0.222222222,-1,1,0
-1,0.320512821,-2,-1,0,0,0,0.052631579,-1,-12,0.111111111,-1,0,1
-2,0.179487179,-2,-2,0,0,0,0.131578947,-1,-82,0,-1,0,0
-1,0.064102564,-3,-4,0,0,0,0,-1,-95,0.222222222,-1,0,0
-1,0.115384615,-2,-2,0,0,0,0,-2,-6,0,-1,0,0
