a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
0.410958904,-6,0.065307396,-2,0.533333333,-3,-2,-1,-1,-1,0,0,0.602040816,-1,1,0
0.356164384,-3,0.152436272,-6,0.6,-2,-10,-2,-1,-1,0,0,0.397959184,-1,1,1
0.397260274,-3,0.137937341,-12,0.133333333,-2,-9,-2,-1,-1,0,0,0.397959184,-5,1,0
0.246575342,-3,0.028949594,-10,0.666666667,-2,-5,-2,-1,-1,0,0,0.397959184,-6,1,0
0.328767123,-3,0.090828561,-2,0.533333333,-2,-1,-2,-1,-1,0,0,0.479591837,-1,1,0
0.178082192,-3,0.118548326,-2,0.533333333,-2,-9,-2,-1,-1,0.050130501,0,0.397959184,-1,1,0
0.178082192,-3,0.031087009,-1,0.8,-2,-6,-2,-1,-1,0.024070241,0,0.397959184,-1,1,0
0.424657534,-3,0.092370436,-2,0.533333333,-2,-7,-2,-1,-1,0,0,0.397959184,-1,1,0
0.342465753,-3,0.069930303,-9,1,-2,-4,-2,-1,-1,0,0,0.448979592,-1,1,1
0.164383562,-3,0.062428957,-6,0.6,-3,-10,-1,-1,-1,0,0,0.581632653,-1,1,0
0.260273973,-3,0.096379448,-2,0.533333333,-2,-11,-2,-1,-1,0,0,0.397959184,-1,1,0
0.150684932,-3,0.115168845,-6,0.6,-3,-1,-1,-1,-2,0,0,0.397959184,-1,1,0
0.493150685,-3,0.106107268,-2,0.533333333,-2,-1,-3,-1,-2,0,0,0.397959184,-1,1,1
0.438356164,-6,0.120951557,-6,0.6,-2,-2,-2,-1,-1,0,0,0.5,-1,1,1
0.02739726,-3,0.059649094,-6,0.6,-1,-4,-4,-1,-1,0,0,0.316326531,-1,1,0
0.191780822,-3,0.20137178,-1,0.8,-5,-6,-4,-2,-2,0,0,0.397959184,-1,0,0
0.164383562,-2,0.100975841,-1,0.8,-2,-6,-2,-1,-1,0,0,0.704081633,-1,1,1
0.082191781,-3,0.134546302,-6,0.6,-1,-9,-1,-1,-1,0,0,0.397959184,-1,1,0
0.849315068,-3,0.075445159,-6,0.6,-2,-4,-6,-1,-1,0,0,0.193877551,-1,1,0
0.136986301,-3,0.136071182,-2,0.533333333,-1,-5,-4,-1,-1,0,0,0.397959184,-5,1,0
0.315068493,-3,0.012539635,-7,0.733333333,-2,-1,-2,-1,-1,0,0,0.397959184,-1,1,0
0.01369863,-3,0.201140634,-3,0.4,-1,-5,-4,-1,-2,0,0,0.214285714,-1,1,0
0.191780822,-5,0.076249409,-8,0.2,-2,-8,-2,-1,-1,0,0,0.397959184,-1,1,0
0.01369863,-3,0.294417976,-2,0.533333333,-1,-6,-1,-1,-1,0,0,0.295918367,-1,1,0
0.479452055,-3,0.178625039,-1,0.8,-2,-5,-2,-1,-1,0,0,0.397959184,-2,1,0
0.397260274,-3,0.025731235,-2,0.533333333,-2,-5,-3,-1,-2,0,0,0.397959184,-1,1,0
0.575342466,-3,0.099370741,-2,0.533333333,-2,-6,-2,-1,-1,0,0,0.479591837,-1,1,0
0.369863014,-3,0.224225935,-2,0.533333333,-3,-11,-1,-1,-2,0.143441434,0,0.397959184,-1,1,1
0.493150685,-3,0.226035667,-2,0.533333333,-3,-6,-4,-1,-2,0,0,0.346938776,-1,1,0
0.438356164,-5,0.17299529,-2,0.533333333,-2,-12,-2,-1,-1,0,0,0.397959184,-1,1,1
0.219178082,-3,0.12800149,-4,0.866666667,-2,-4,-2,-1,-1,0,0,0.5,-1,1,0
0.178082192,-3,0.027577678,-5,0.266666667,-1,-6,-1,-1,-1,0,0,0.397959184,-1,1,0
0.356164384,-4,0.269962799,-9,1,-1,-4,-1,-1,-2,0,0,0.5,-1,1,1
0.547945205,-3,0.160583465,-10,0.666666667,-2,-4,-2,-1,-1,0,0,0.397959184,-1,1,0
0.273972603,-3,0.185569597,-6,0.6,-3,-11,-5,-1,-2,0,0,0.397959184,-1,1,0
0.150684932,-3,0.13514796,-6,0.6,-3,-9,-5,-2,-2,0,0,0.244897959,-1,0,0
0.232876712,-5,0.144484192,-1,0.8,-2,-12,-2,-1,-1,0,0,0.397959184,-1,1,1
0.164383562,-5,0.069218511,-6,0.6,-1,-3,-1,-1,-1,0,0,0.5,-1,1,0
0.424657534,-2,0.120676902,-9,1,-2,-4,-2,-1,-1,0,0.436639118,0.602040816,-1,1,1
0.273972603,-3,0.128431149,-6,0.6,-2,-6,-2,-1,-1,0,0,0.479591837,-1,1,1
0.424657534,-3,0.106956387,-7,0.733333333,-3,-2,-5,-1,-2,0,0,0.397959184,-8,1,0
0.205479452,-4,0.160197317,-2,0.533333333,-1,-5,-4,-2,-1,0,0,0.397959184,-1,0,0
0.808219178,-3,0.075069208,-4,0.866666667,-2,-2,-2,-1,-1,0,0,0.397959184,-1,1,1
0.369863014,-3,0.125439176,-1,0.8,-2,-2,-2,-1,-1,0.150241502,0,0.602040816,-1,1,1
0.410958904,-2,0.0920142,-4,0.866666667,-1,-4,-1,-1,-2,0,0,0.5,-1,1,0
0.04109589,-3,0.118653021,-6,0.6,-1,-10,-4,-1,-2,0,0,0.397959184,-1,1,0
0.164383562,-3,0.060956425,-2,0.533333333,-1,-11,-1,-1,-1,0,0,0.397959184,-1,1,0
0.205479452,-6,0.206597024,-2,0.533333333,-2,-11,-2,-1,-1,0.076880769,0,0.397959184,-1,1,1
0.178082192,-3,0.12314064,-3,0.4,-1,-3,-4,-1,-1,0,0,0.397959184,-1,1,0
0.191780822,-5,0.119309066,-2,0.533333333,-1,-1,-1,-1,-2,0,0,0.397959184,-1,1,0
0.342465753,-3,0.075409807,-2,0.533333333,-2,-3,-2,-1,-1,0,0,0.397959184,-1,1,0
0.095890411,-3,0.284585461,-1,0.8,-1,-6,-6,-1,-1,0,0,0.397959184,-1,1,0
0.287671233,-3,0.035049112,-11,0.933333333,-2,-4,-2,-1,-1,0,0,0.397959184,-1,1,1
0.534246575,-2,0.218796739,-2,0.533333333,-2,-5,-2,-1,-1,0,0.433195592,0.5,-9,1,1
0.150684932,-3,0.247529464,-6,0.6,-2,-6,-3,-1,-2,0.040640406,0,0.244897959,-1,1,0
0.260273973,-3,0.060570276,-2,0.533333333,-1,-9,-4,-1,-2,0,0,0.397959184,-1,1,0
0.493150685,-3,0.055663877,-5,0.266666667,-2,-3,-2,-1,-1,0,0,0.5,-1,1,0
0.534246575,-6,0.196691766,-6,0.6,-2,-6,-2,-1,-1,0,0,0.5,-1,1,0
0.438356164,-5,0.124819843,-10,0.666666667,-2,-11,-2,-2,-1,0,0,0.397959184,-1,0,1
0.520547945,-3,0.158934855,-6,0.6,-2,-6,-2,-1,-1,0,0,0.56122449,-1,1,0
0.068493151,-3,0.060412554,-2,0.533333333,-1,-11,-1,-1,-1,0,0,0.408163265,-1,1,0
0.054794521,-3,0.126549354,-6,0.6,-1,-5,-4,-1,-2,0,0,0.397959184,-1,1,0
0.315068493,-3,0.071440226,-1,0.8,-2,-2,-2,-1,-1,0,0,0.602040816,-1,1,0
0.178082192,-3,0.043084131,-1,0.8,-1,-2,-4,-2,-1,0,0,0.397959184,-10,0,0
0.164383562,-1,0.172828729,-1,0.8,-2,-4,-2,-1,-1,0,0,0.5,-1,1,1
0.02739726,-3,0.195682885,-6,0.6,-1,-5,-4,-2,-1,0,0,0.346938776,-1,0,0
0.410958904,-3,0.18631606,-1,0.8,-2,-2,-3,-1,-2,0,0,0.397959184,-1,1,1
0.04109589,-3,0.066575296,-6,0.6,-1,-1,-4,-1,-2,0,0.394628099,0.275510204,-1,1,0
0.191780822,-3,0.068777975,-7,0.733333333,-2,-1,-2,-1,-1,0,0,0.397959184,-1,1,1
0.301369863,-3,0.239283014,-6,0.6,-3,-11,-1,-1,-1,0,0,0.397959184,-1,1,0
0.150684932,-3,0.037970381,-7,0.733333333,-1,-6,-1,-1,-2,0,0,0.602040816,-1,1,0
0.095890411,-3,0.020091969,-2,0.533333333,-1,-5,-1,-1,-2,0,0.404499541,0.397959184,-1,1,0
0.287671233,-2,0.072889643,-2,0.533333333,-2,-11,-2,-1,-1,0.043860439,0,0.346938776,-1,1,0
0.273972603,-3,0.163455786,-1,0.8,-2,-6,-2,-1,-1,0,0,0.5,-1,1,0
0.397260274,-3,0.09002839,-7,0.733333333,-3,-10,-1,-2,-2,0,0,0.357142857,-1,0,0
0.287671233,-4,0.076253488,-4,0.866666667,-2,-4,-2,-1,-1,0,0,0.397959184,-11,1,1
0.356164384,-2,0.029335743,-2,0.533333333,-2,-11,-2,-1,-1,0,0,0.602040816,-1,1,0
0.136986301,-3,0.101539428,-10,0.666666667,-2,-1,-3,-1,-2,0,0,0.346938776,-1,1,0
0.04109589,-3,0.013964578,-6,0.6,-1,-6,-4,-1,-1,0,0,0.193877551,-1,1,0
0.438356164,-3,0.046367755,-6,0.6,-2,-11,-2,-3,-1,0,0,0.397959184,-1,0,1
0.602739726,-6,0.035926104,-2,0.533333333,-2,-11,-2,-1,-1,0,0,0.397959184,-1,1,0
0.136986301,-3,0.14889363,-6,0.6,-1,-6,-4,-1,-2,0,0,0.397959184,-1,1,0
0.02739726,-3,0.206058591,-6,0.6,-1,-5,-4,-1,-1,0,0,0.295918367,-5,1,0
0.383561644,-3,0.124284809,-10,0.666666667,-1,-4,-1,-1,-2,0,0.359044995,0.397959184,-1,1,1
0.726027397,-3,0.062278032,-6,0.6,-1,-10,-6,-1,-1,0,0,0.397959184,-1,1,0
0.191780822,-3,0.116962941,-2,0.533333333,-1,-7,-5,-2,-2,0,0,0.295918367,-1,0,0
0.068493151,-3,0.109865419,-6,0.6,-2,-5,-2,-1,-1,0,0,0.234693878,-1,1,0
0.260273973,-3,0.064261124,-2,0.533333333,-7,-5,-5,-1,-2,0,0,0.234693878,-1,1,0
0.643835616,-3,0.113847917,-3,0.4,-2,-11,-2,-1,-1,0,0.500229568,0.397959184,-1,1,0
0.410958904,-5,0.117095509,-6,0.6,-3,-1,-5,-1,-2,0,0,0.37755102,-5,1,0
0.232876712,-3,0.125371872,-2,0.533333333,-1,-1,-1,-1,-2,0,0,0.397959184,-1,1,0
0.219178082,-3,0.101455128,-1,0.8,-1,-2,-6,-3,-2,0,0,0.397959184,-12,0,0
0.054794521,-3,0.191979121,-2,0.533333333,-1,-11,-4,-1,-1,0,0,0.346938776,-1,1,0
0.424657534,-3,0.118255315,-2,0.533333333,-2,-11,-2,-1,-1,0,0,0.459183673,-1,1,0
0.082191781,-3,0.136493362,-1,0.8,-1,-3,-1,-1,-1,0,0,0.397959184,-1,1,0
0.739726027,-2,0.326631478,-6,0.6,-5,-6,-5,-2,-1,0,0.416896235,0.010204082,-1,0,0
0.164383562,-3,0.120852301,-2,0.533333333,-3,-11,-1,-1,-1,0,0,0.602040816,-1,1,0
0.342465753,-3,0.145952645,-1,0.8,-5,-5,-6,-2,-1,0,0,0.5,-1,0,0
0.109589041,-3,0.162470019,-2,0.533333333,-1,-5,-5,-1,-2,0,0,0.397959184,-1,1,0
0.369863014,-6,0.043921014,-4,0.866666667,-3,-2,-5,-3,-2,0,0,0.397959184,-1,0,0
0.150684932,-3,0.050749999,-2,0.533333333,-1,-2,-1,-3,-2,0,0,0.397959184,-8,0,0
0.383561644,-2,0.127341366,-4,0.866666667,-2,-6,-2,-1,-1,0,0,0.397959184,-1,1,1
0.260273973,-3,0.131472749,-6,0.6,-3,-5,-5,-1,-2,0,0,0.397959184,-5,1,0
0.301369863,-4,0.150731235,-7,0.733333333,-1,-2,-1,-1,-1,0,0,0.418367347,-1,1,0
0.397260274,-1,0.060409834,-4,0.866666667,-7,-12,-5,-1,-1,0,0,0.397959184,-1,1,0
0.01369863,-3,0.008198181,-3,0.4,-1,-3,-4,-1,-1,0,0,0.153061224,-1,1,0
0.671232877,-5,0.027912159,-10,0.666666667,-7,-4,-1,-1,-2,0,0,0.193877551,-1,1,0
0.136986301,-3,0.075587245,-2,0.533333333,-1,-5,-1,-1,-1,0,0.454545455,0.397959184,-1,1,0
0.150684932,-1,0.109832107,-2,0.533333333,-2,-12,-2,-1,-1,0,0,0.397959184,-1,1,0
0.465753425,-3,0.05594601,-6,0.6,-2,-6,-2,-1,-1,0,0.453856749,0.397959184,-1,1,1
0.136986301,-3,0.28163088,-1,0.8,-1,-11,-1,-1,-1,0,0,0.5,-1,1,0
0.150684932,-1,0.092359559,-1,0.8,-2,-4,-2,-1,-1,0,0,0.397959184,-1,1,1
0.136986301,-3,0.163192008,-2,0.533333333,-4,-6,-5,-1,-2,0,0,0.244897959,-1,1,0
0.054794521,-3,0.20339906,-2,0.533333333,-1,-11,-4,-2,-1,0,0,0.397959184,-1,0,0
0.232876712,-3,0.319529878,-2,0.533333333,-1,-3,-1,-2,-1,0,0,0.397959184,-1,0,0
0.01369863,-3,0.115682123,-2,0.533333333,-1,-5,-4,-1,-1,0,0,0.112244898,-1,1,0
0.219178082,-3,0.015979621,-1,0.8,-2,-4,-2,-1,-1,0,0,0.653061224,-1,1,0
0.369863014,-5,0.113924059,-6,0.6,-2,-2,-2,-2,-1,0,0,0.37755102,-1,0,1
0.356164384,-3,0.068535273,-6,0.6,-3,-1,-1,-1,-2,0,0,0.397959184,-1,1,0
0.178082192,-3,0.421481968,-6,0.6,-1,-11,-1,-2,-1,0,0,0.448979592,-1,0,0
0.315068493,-3,0.185324854,-8,0.2,-2,-9,-2,-1,-1,0,0,0.397959184,-5,1,1
0.273972603,-4,0.010391343,-6,0.6,-2,-1,-2,-1,-1,0,0,0.418367347,-1,1,1
0.232876712,-3,0.197330815,-2,0.533333333,-2,-1,-2,-2,-1,0,0,0.397959184,-1,0,0
0.328767123,-2,0.087944003,-1,0.8,-3,-2,-1,-1,-2,0,0,0.397959184,-1,1,0
0.191780822,-3,0.058574268,-4,0.866666667,-2,-4,-3,-1,-2,0,0,0.5,-1,1,0
0.561643836,-1,0.065127239,-9,1,-2,-4,-2,-1,-1,0,0,0,-1,1,1
0.287671233,-3,0.096165299,-6,0.6,-3,-9,-1,-2,-2,0,0,0.275510204,-1,0,0
0.095890411,-3,0.0991192,-6,0.6,-2,-9,-2,-1,-1,0,0,0.397959184,-1,1,0
0.328767123,-5,0.346813865,-1,0.8,-2,-11,-2,-2,-1,0,0,0.397959184,-1,0,0
0.410958904,-3,0.07285837,-6,0.6,-2,-10,-2,-1,-1,0,0,0.448979592,-1,1,0
0.328767123,-4,0.079535072,-1,0.8,-2,-10,-2,-1,-1,0,0,0.234693878,-1,1,0
0.082191781,-3,0.12483072,-12,0.133333333,-2,-7,-6,-1,-1,0,0,0.397959184,-5,1,0
0.260273973,-3,0.058197637,-6,0.6,-3,-11,-1,-1,-1,0,0,0.397959184,-1,1,0
0.315068493,-4,0.029250763,-4,0.866666667,-1,-2,-1,-1,-2,0.140841408,0,0.551020408,-1,1,1
0.246575342,-3,0.085131508,-4,0.866666667,-2,-4,-6,-1,-1,0.07298073,0,0.397959184,-1,1,1
0.095890411,-2,0.013020281,-2,0.533333333,-1,-6,-1,-1,-1,0,0,0.397959184,-1,1,0
0.123287671,-3,0.260750978,-4,0.866666667,-1,-4,-1,-1,-2,0,0.43067034,0.397959184,-1,1,0
0.465753425,-3,0.166937243,-1,0.8,-2,-2,-2,-1,-1,0,0,0.5,-1,1,1
0.342465753,-5,0.163873887,-6,0.6,-1,-4,-1,-1,-2,0,0.307621671,0.397959184,-1,1,0
0.273972603,-1,0.023415023,-2,0.533333333,-3,-1,-5,-1,-2,0,0,0.346938776,-1,1,0
0.01369863,-3,0.08592828,-3,0.4,-1,-6,-4,-1,-2,0,0,0.397959184,-1,1,0
0.260273973,-3,0.078173354,-1,0.8,-2,-5,-2,-2,-1,0.07298073,0,0.357142857,-1,0,1
0.246575342,-3,0.015297063,-2,0.533333333,-3,-11,-1,-1,-1,0,0,0.602040816,-1,1,0
0.561643836,-6,0.133788282,-2,0.533333333,-2,-6,-3,-1,-2,0.150241502,0,0.346938776,-1,1,1
0,-3,0.035079025,-3,0.4,-1,-6,-4,-1,-2,0,0,0.112244898,-1,1,0
0.369863014,-5,0.100054659,-2,0.533333333,-2,-7,-2,-2,-1,0,0,0.397959184,-1,0,0
0.273972603,-3,0.132289236,-2,0.533333333,-2,-11,-2,-1,-1,0,0,0.397959184,-1,1,1
0.246575342,-3,0.095191769,-6,0.6,-1,-6,-1,-4,-2,0,0,0.397959184,-1,0,0
0.589041096,-3,0.048979697,-2,0.533333333,-2,-11,-2,-3,-1,0,0,0.397959184,-1,0,0
0.506849315,-6,0.075902691,-8,0.2,-2,-9,-2,-1,-1,0,0,0.397959184,-1,1,1
0.273972603,-3,0.422957899,-1,0.8,-1,-2,-1,-2,-1,0,0,0.602040816,-1,0,1
0.452054795,-3,0.203647202,-7,0.733333333,-3,-6,-1,-1,-2,0,0,0.397959184,-1,1,0
0.287671233,-3,0.114784056,-1,0.8,-2,-6,-2,-1,-1,0,0,0.5,-13,1,0
0.383561644,-3,0.06503682,-1,0.8,-2,-4,-2,-1,-1,0,0,0.551020408,-1,1,0
0.109589041,-3,0.164001017,-13,0.333333333,-1,-11,-1,-1,-1,0,0,0.397959184,-1,1,0
0.191780822,-3,0.125152284,-6,0.6,-2,-3,-2,-1,-1,0,0,0.397959184,-1,1,0
1,-3,0.025816895,-2,0.533333333,-1,-5,-1,-2,-1,0,0.506427916,0.397959184,-1,0,0
0.506849315,-3,0.110753969,-2,0.533333333,-2,-1,-2,-2,-1,0,0,0.193877551,-1,0,0
0.493150685,-5,0.086060848,-14,0,-1,-9,-1,-1,-2,0,0,0.346938776,-1,1,0
0.01369863,-3,0.156053017,-2,0.533333333,-1,-6,-4,-1,-2,0,0,0.397959184,-1,1,0
0.671232877,-2,0.104639495,-2,0.533333333,-2,-8,-2,-1,-1,0.014090141,0,0.5,-1,1,0
0.794520548,-3,0.204250899,-10,0.666666667,-7,-1,-1,-1,-2,0,0,0.193877551,-14,1,0
0.657534247,-3,0.11083215,-2,0.533333333,-3,-1,-1,-1,-2,0,0,0.397959184,-1,1,0
0.246575342,-3,0.356789147,-3,0.4,-5,-7,-1,-2,-1,0.036740367,0,0.397959184,-1,0,0
0.328767123,-3,0.079295768,-2,0.533333333,-3,-6,-5,-2,-2,0,0,0.37755102,-1,0,0
0.109589041,-3,0.099231374,-6,0.6,-1,-1,-1,-1,-1,0,0,0.418367347,-1,1,0
0.219178082,-3,0.066086492,-6,0.6,-3,-11,-6,-5,-2,0,0,0.397959184,-1,0,0
0.150684932,-3,0.04279248,-11,0.933333333,-1,-4,-1,-1,-1,0,0,0.551020408,-1,1,1
0.575342466,-1,0.173312095,-2,0.533333333,-2,-5,-2,-1,-1,0,0,0.397959184,-1,1,0
0.315068493,-1,0.106568879,-6,0.6,-1,-1,-1,-1,-2,0,0,0.37755102,-1,1,0
0.328767123,-3,0.113104173,-1,0.8,-2,-2,-2,-1,-1,0,0,0.5,-11,1,1
0.287671233,-5,0.068872473,-4,0.866666667,-2,-2,-2,-1,-1,0,0,0.704081633,-1,1,1
0.082191781,-3,0.069132172,-2,0.533333333,-1,-7,-4,-1,-1,0,0,0.397959184,-1,1,0
0.315068493,-3,0.227148564,-1,0.8,-2,-4,-2,-1,-1,0,0,0.397959184,-1,1,1
0.328767123,-2,0.123888463,-2,0.533333333,-2,-5,-3,-1,-2,0,0,0.193877551,-1,1,0
0.095890411,-1,0.176850658,-7,0.733333333,-2,-12,-2,-1,-1,0,0,0.5,-1,1,0
0.287671233,-3,0.112662278,-6,0.6,-3,-11,-1,-1,-1,0,0.399678604,0.397959184,-1,1,0
0.561643836,-3,0.151486536,-2,0.533333333,-2,-1,-2,-1,-1,0,0,0.448979592,-1,1,1
0.205479452,-3,0.115672606,-2,0.533333333,-1,-5,-1,-1,-2,0,0,0.336734694,-1,1,0
0.315068493,-3,0.131758962,-7,0.733333333,-2,-10,-2,-1,-1,0,0.453856749,0.602040816,-1,1,1
0.328767123,-3,0.067300005,-11,0.933333333,-2,-4,-3,-1,-2,0,0,0.397959184,-1,1,1
0.342465753,-3,0.256307548,-1,0.8,-2,-1,-3,-2,-2,0,0,0.397959184,-1,0,0
0.575342466,-5,0.107114789,-13,0.333333333,-7,-5,-5,-2,-2,0,0,0.295918367,-1,0,0
0.02739726,-5,0.009254651,-6,0.6,-1,-1,-4,-1,-1,0,0,0.397959184,-1,1,0
0.561643836,-3,0.166727172,-6,0.6,-1,-7,-1,-1,-1,0,0,0.193877551,-1,1,0
0.342465753,-2,0.196660494,-2,0.533333333,-2,-8,-2,-3,-1,0,0,0.397959184,-15,0,1
0.04109589,-3,0.070716877,-2,0.533333333,-1,-5,-4,-1,-2,0,0,0.397959184,-1,1,0
0.205479452,-3,0.107965268,-2,0.533333333,-5,-5,-1,-1,-2,0,0,0.295918367,-1,1,0
0.383561644,-3,0.118222003,-10,0.666666667,-7,-2,-1,-1,-2,0,0,0.448979592,-1,1,0
0.452054795,-3,0.129678654,-8,0.2,-3,-11,-1,-1,-1,0,0,0.397959184,-1,1,0
0.260273973,-3,0.092643732,-1,0.8,-3,-4,-4,-1,-2,0,0,0.397959184,-1,1,0
0.383561644,-3,0.057326084,-2,0.533333333,-2,-6,-2,-1,-1,0,0,0.602040816,-1,1,0
0,-3,0.157823998,-3,0.4,-1,-5,-4,-1,-1,0,0,0.112244898,-1,1,0
0.575342466,-3,0.089904659,-6,0.6,-2,-6,-2,-1,-1,0.040640406,0,0.397959184,-1,1,0
0.123287671,-3,0.247837431,-3,0.4,-2,-11,-2,-1,-1,0,0,0.397959184,-1,1,0
0.273972603,-6,0.165558529,-6,0.6,-2,-2,-2,-3,-1,0,0,0.755102041,-16,0,1
0.643835616,-3,0.00503421,-2,0.533333333,-2,-2,-2,-1,-1,0,0,0.397959184,-1,1,1
0.219178082,-3,0.116735874,-1,0.8,-1,-4,-1,-1,-2,0,0,0.448979592,-1,1,0
0.219178082,-3,0.14170297,-2,0.533333333,-2,-11,-3,-1,-2,0,0,0.397959184,-1,1,1
0.602739726,-3,0.038137621,-2,0.533333333,-2,-2,-2,-1,-1,0,0,0.397959184,-1,1,1
0,-3,0.120665345,-5,0.266666667,-1,-5,-4,-1,-1,0.010550106,0,0.234693878,-1,1,0
