a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
-1,0.558823529,-2,-1,0.380983823,-1,-3,1,-2,-1,0.666666667,-4,0.196428571,-1,-1,0,-3,0,-1,-1,1,1
-1,0.088235294,-1,-3,0.103554528,-1,-5,0.333333333,-2,-3,0.666666667,-1,0.142857143,-1,-3,0.333333333,-1,0,-2,-2,1,0
-1,0.426470588,-1,-3,0.221800374,-3,-2,0,-2,-1,1,-4,0.071428571,-1,-1,0.333333333,-1,0,-2,-1,0,1
-2,0.117647059,-1,-4,0.116430065,-3,-3,0.666666667,-3,-1,0.666666667,-4,0.303571429,-1,-1,0,-3,0,-1,-1,1,0
-1,0.25,-2,-1,0.087212501,-2,-2,0.666666667,-2,-1,0.333333333,-1,0.107142857,-1,-1,0.333333333,-1,0,-1,-1,1,1
-3,0.294117647,-1,-5,0.199075603,-2,-1,1,-2,-1,0.333333333,-4,0.392857143,-1,-3,0.333333333,-3,0,-1,-1,1,0
-3,0.117647059,-2,-3,0.083525916,-2,-2,0.666666667,-1,-1,0.333333333,-1,0.089285714,-1,-3,0,-2,0,-2,-1,0,0
-4,0.088235294,-1,-4,0.029217564,-2,-1,1,-1,-1,1,-3,0.785714286,-1,-2,0.333333333,-1,0,-1,-1,1,0
-2,0.205882353,-2,-3,0.092109607,-1,-5,1,-2,-1,0.666666667,-1,0.142857143,-1,-3,0,-1,0,-2,-1,1,1
-1,0.117647059,-1,-4,0.102949268,-2,-2,1,-1,-1,0.333333333,-2,0.196428571,-1,-1,0.333333333,-1,0,-2,-1,1,0
-1,0.117647059,-2,-1,0.024815671,-2,-2,1,-4,-1,0.333333333,-1,0.375,-1,-1,0,-2,0,-2,-1,1,0
-2,0.117647059,-2,-8,0.021404204,-2,-2,1,-1,-1,0.333333333,-4,0.196428571,-1,-1,0,-1,0,-2,-1,1,1
-2,0.117647059,-1,-5,0.088588093,-2,-4,1,-1,-1,0.333333333,-4,0.267857143,-1,-1,0.333333333,-3,0,-1,-1,1,0
-1,0.117647059,-1,-4,0.178771872,-2,-2,0.666666667,-2,-3,0.333333333,-1,0.178571429,-1,-1,0.333333333,-1,0,-2,-1,1,1
-2,0.647058824,-2,-4,0.453229889,-1,-3,0,-2,-1,0.333333333,-4,0.089285714,-1,-1,0,-1,0,-2,-1,0,0
-1,0.470588235,-3,-2,0.365192033,-2,-2,1,-1,-1,0.666666667,-2,0.178571429,-3,-1,0,-1,0,-1,-1,1,1
-3,0.161764706,-2,-3,0.135248157,-2,-5,0.333333333,-1,-1,0.666666667,-2,0.142857143,-2,-1,0.333333333,-2,0,-2,-1,1,0
-3,0.205882353,-2,-3,0.095411027,-2,-2,1,-1,-1,1,-3,0.5,-2,-2,0.333333333,-1,0,-2,-1,1,0
-3,0.823529412,-2,-1,0.544404094,-5,-3,0.333333333,-2,-1,1,-1,0.035714286,-1,-1,0,-1,0,-1,-1,0,0
-3,0.117647059,-1,-1,0.054473424,-1,-1,1,-2,-1,0.333333333,-1,0.339285714,-1,-1,0.333333333,-1,0,-1,-1,1,0
-3,0.338235294,-3,-5,0.46016287,-4,-2,0.333333333,-1,-1,0.333333333,-4,0.142857143,-1,-1,0.333333333,-1,0,-2,-1,1,0
-2,0.117647059,-2,-1,0.028392209,-3,-2,1,-1,-1,0.666666667,-1,0.839285714,-1,-1,0,-2,0,-2,-1,1,1
-2,0.161764706,-1,-1,0.13634863,-1,-3,1,-1,-2,0.333333333,-1,0.285714286,-2,-1,0.666666667,-1,0,-1,-1,1,0
-4,0.117647059,-2,-1,0.08974359,-2,-2,0.333333333,-2,-1,0.333333333,-4,0.446428571,-1,-3,0,-2,0,-1,-1,1,0
-4,0.029411765,-2,-4,0.02525586,-4,-5,0.333333333,-4,-1,0.333333333,-1,0.142857143,-1,-1,0,-4,0,-2,-2,1,0
-2,0.470588235,-2,-1,0.250082535,-2,-5,1,-2,-1,0,-3,0.196428571,-1,-1,0,-3,0,-1,-1,1,0
-1,0.338235294,-2,-1,0.174204908,-2,-2,0.666666667,-1,-1,0.333333333,-4,0.142857143,-1,-1,0,-3,0,-2,-1,1,0
-1,0.205882353,-2,-3,0.121712336,-2,-2,0.333333333,-1,-1,0.333333333,-4,0.053571429,-1,-1,0,-1,0,-2,-1,0,1
-3,0.25,-1,-3,0.112138219,-2,-5,1,-2,-1,1,-2,0.071428571,-1,-1,0,-1,0,-1,-1,0,0
-2,0.647058824,-5,-6,0.182458457,-5,-3,1,-1,-1,0.333333333,-4,0.196428571,-1,-1,0,-1,0,-2,-1,1,0
-1,0.029411765,-1,-4,0.033564433,-2,-1,0,-2,-1,1,-3,0.357142857,-1,-1,0.333333333,-1,0,-1,-1,1,0
-3,0.117647059,-1,-4,0.023770221,-5,-3,1,-2,-1,0.666666667,-4,0.571428571,-1,-1,0.333333333,-1,0,-1,-1,1,0
-1,0.470588235,-1,-3,0.281776164,-2,-2,0.666666667,-1,-2,0.333333333,-2,0.160714286,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.205882353,-1,-1,0.073291515,-4,-1,1,-1,-1,1,-4,0.482142857,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.029411765,-2,-1,0.060305932,-5,-1,0.333333333,-1,-1,1,-3,0.410714286,-2,-2,0,-1,1,-1,-1,1,0
-3,0.088235294,-2,-1,0.092109607,-2,-2,0,-1,-1,1,-2,0.339285714,-1,-1,0,-1,0,-1,-2,1,0
-4,0.470588235,-2,-1,0.30802245,-2,-2,1,-1,-1,0,-4,0.089285714,-1,-1,0,-1,0,-2,-1,0,0
-2,0.294117647,-1,-5,0.413117641,-4,-1,0.333333333,-2,-1,1,-3,0.178571429,-1,-3,0,-1,0,-2,-1,1,0
-2,0.294117647,-3,-6,0.369593925,-5,-3,1,-1,-1,1,-4,0.303571429,-1,-3,0,-3,0,-1,-1,1,0
-1,0.117647059,-2,-3,0.056784417,-2,-2,0.333333333,-2,-1,1,-4,0.017857143,-1,-3,0,-1,0,-2,-1,0,1
-1,0.073529412,-1,-8,0.057114559,-5,-1,0.666666667,-1,-2,1,-1,0.517857143,-1,-1,0.333333333,-1,1,-2,-2,1,0
-1,0.117647059,-5,-10,0.004897106,-2,-1,1,-4,-1,0,-4,0.464285714,-2,-1,0,-2,0,-2,-1,1,0
-2,0.294117647,-2,-4,0.179487179,-5,-3,0.333333333,-1,-1,0.666666667,-4,0.339285714,-2,-1,0.333333333,-1,0,-1,-1,1,0
-3,0.029411765,-1,-1,0.090678992,-1,-2,0,-1,-1,0.333333333,-1,0.267857143,-1,-1,0.333333333,-2,1,-2,-1,1,0
-3,0.294117647,-1,-1,0.144272037,-5,-1,0.666666667,-1,-1,1,-1,0.303571429,-1,-1,0,-1,1,-1,-1,1,0
-3,0.205882353,-1,-4,0.044294046,-2,-5,1,-2,-1,0,-2,0.196428571,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.161764706,-2,-7,0.055683944,-3,-3,1,-1,-1,0.666666667,-2,0.303571429,-1,-1,0.333333333,-1,0,-1,-1,1,0
-2,0.088235294,-2,-4,0.388356994,-2,-4,0.333333333,-1,-1,1,-3,0.910714286,-2,-2,0,-3,0,-1,-1,1,0
-3,0.470588235,-2,-4,0.036260592,-3,-1,1,-1,-1,1,-2,0.303571429,-1,-1,0,-1,0,-2,-1,1,0
-3,0.029411765,-2,-3,0.150104545,-3,-2,0,-1,-1,0.333333333,-4,0.232142857,-1,-1,0,-1,0,-1,-1,1,0
-1,0.205882353,-2,-3,0.048475845,-2,-4,1,-2,-1,0.333333333,-4,0.25,-1,-1,0,-1,0,-2,-1,1,1
-2,0.102941176,-2,-3,0.073016397,-4,-5,1,-2,-1,0,-1,0.017857143,-1,-1,0,-1,0,-2,-1,0,0
-3,0.294117647,-2,-3,0.204798063,-2,-3,0.333333333,-2,-1,1,-2,0.107142857,-1,-3,0,-1,0,-1,-1,1,0
-2,0.294117647,-1,-6,0.092714867,-2,-1,1,-3,-1,1,-1,0.214285714,-1,-1,0.333333333,-1,0,-1,-1,1,1
-1,0.161764706,-4,-4,0.038516562,-2,-1,1,-1,-1,0.666666667,-4,0.25,-1,-3,0.333333333,-1,1,-2,-1,1,1
-3,0.117647059,-2,-3,0.028227138,-2,-2,1,-2,-1,0,-1,0.125,-1,-1,0,-1,0,-1,-1,1,0
-2,0.294117647,-3,-3,0.09981292,-2,-4,0.666666667,-2,-1,0.333333333,-2,0.267857143,-1,-1,0,-3,0,-1,-1,1,1
-2,0.058823529,-2,-1,0.06404754,-2,-2,1,-1,-2,0.333333333,-1,0.25,-1,-1,0,-1,0,-2,-2,1,0
-1,0.25,-3,-2,0.174094861,-2,-5,0.333333333,-1,-1,0,-2,0.125,-1,-1,0.333333333,-1,0,-2,-1,1,1
-3,0.382352941,-5,-5,0.398096181,-1,-4,1,-2,-1,0,-1,0.607142857,-2,-1,0,-3,0,-1,-1,1,1
-1,0.117647059,-2,-3,0.128040057,-2,-2,0.333333333,-3,-1,0,-4,0.410714286,-1,-1,0,-1,0,-2,-1,1,0
-1,0.029411765,-1,-1,0.004842082,-3,-1,1,-1,-1,1,-4,0.589285714,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.117647059,-2,-1,0.09425553,-2,-3,1,-1,-1,0.333333333,-4,0.214285714,-1,-3,0.333333333,-3,1,-1,-1,1,0
-1,0.25,-1,-4,0.017662595,-2,-1,1,-1,-1,1,-1,0.821428571,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.470588235,-3,-6,0.51293056,-2,-5,0,-3,-1,0,-4,0.160714286,-1,-1,0.333333333,-1,0,-2,-1,1,1
-2,0.470588235,-3,-6,0.231374491,-2,-2,0.333333333,-3,-1,0.333333333,-1,0.196428571,-3,-1,0.333333333,-3,0,-1,-1,1,1
-1,0.25,-5,-4,0.076868053,-1,-2,1,-1,-1,0.333333333,-2,0.375,-1,-1,0.333333333,-2,1,-2,-1,1,1
-3,0.294117647,-1,-3,0.194068449,-4,-2,1,-1,-1,1,-1,0.553571429,-1,-1,0,-1,0,-1,-1,1,0
-2,0.205882353,-1,-4,0.034885001,-2,-1,1,-1,-1,1,-4,0.303571429,-2,-1,0,-1,1,-1,-1,1,1
-3,0.161764706,-1,-1,0.061076263,-2,-2,1,-1,-1,0.333333333,-2,0.214285714,-1,-1,0.333333333,-1,0,-2,-1,1,0
-2,0.073529412,-5,-5,0.268460438,-2,-1,0.333333333,-2,-1,1,-3,0.982142857,-2,-2,0,-3,1,-1,-1,1,1
-2,0.176470588,-1,-4,0.050896886,-2,-4,0.333333333,-1,-1,0.666666667,-4,0.875,-1,-2,0.666666667,-4,0,-1,-1,1,0
