sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,,
-1,0.046153846,-3,-2,0,0.25,0.058823529,0.078947368,-1,-183,0.909090909,-3,1,1
-1,0.446153846,-2,-2,0,0,0,0.026315789,-2,-35,0.181818182,-1,1,1
-1,0.184615385,-1,-2,0,0,0,0.131578947,-1,-108,0.454545455,-1,1,1
-1,0.230769231,-1,-1,0,0,0,0.026315789,-1,-362,0.454545455,-1,0,0
-1,0.507692308,-2,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-2,0.138461538,-1,-2,0.05,0,0,0.026315789,-1,-362,0.545454545,-2,1,0
-1,0.046153846,-3,-2,0,0,0,0,-1,-251,0.454545455,-1,1,0
-2,0.030769231,-3,-2,0,0,0,0,-1,-167,0.454545455,-1,1,0
-1,0.092307692,-3,-1,0,0,0,0.026315789,-2,-81,0.272727273,-1,0,0
-1,0.184615385,-1,-2,0,0,0,0.026315789,-2,-35,0.181818182,-1,1,0
-1,0.261538462,-1,-2,0,0,0,0.157894737,-1,-362,0.818181818,-3,1,1
-1,0.4,-1,-1,0,0,0,0,-2,-316,0.181818182,-1,0,0
-1,0.230769231,-1,-2,0,0,0,0.078947368,-1,-362,0.272727273,-1,1,0
-1,0.076923077,-3,-2,0,0.25,0.058823529,0.078947368,-2,-128,0.727272727,-2,1,1
-1,0.615384615,-2,-1,0,0,0,0.026315789,-1,-14,0.181818182,-1,0,1
-1,0.153846154,-1,-2,0,0,0,0,-1,-207,0.454545455,-1,1,0
-2,0.061538462,-3,-2,0,0,0,0,-1,-290,0.636363636,-2,1,0
-1,0.138461538,-1,-2,0,0,0,0.105263158,-1,-362,0.545454545,-2,1,1
-1,0.107692308,-1,-2,0,0,0,0,-2,-242,0.363636364,-1,1,0
-1,0.092307692,-3,-2,0,0,0,0.026315789,-1,-120,0.363636364,-1,1,0
-1,0.092307692,-3,-2,0,0,0,0,-2,-35,0.727272727,-2,1,0
-1,0.538461538,-2,-1,0,0,0,0.105263158,-1,-266,0.181818182,-1,0,0
-1,0.507692308,-2,-1,0,0,0,0.184210526,-1,-47,0.181818182,-1,0,1
-1,0.246153846,-1,-2,0,0,0.235294118,0.289473684,-1,-17,0.818181818,-3,1,1
-1,0.492307692,-2,-1,0,0,0,0.078947368,-2,-283,0.454545455,-1,0,1
-1,0.507692308,-2,-2,0,0,0,0.052631579,-1,-167,0.181818182,-1,1,0
-1,0.046153846,-3,-1,0,0,0,0,-1,-295,0.909090909,-3,0,1
-1,0.323076923,-1,-2,0,0,0,0.026315789,-2,-122,0.181818182,-1,1,0
-2,0.184615385,-1,-1,0,0,0.058823529,0.026315789,-1,-120,0.272727273,-1,0,0
-1,0.138461538,-1,-2,0,0,0,0.026315789,-1,-162,0.272727273,-1,1,0
-1,0.169230769,-1,-2,0,0,0,0,-2,-91,0.181818182,-1,1,0
-1,0.769230769,-2,-1,0,0,0,0,-2,-114,0.181818182,-1,0,0
-1,0.076923077,-3,-2,0,0,0.058823529,0.157894737,-1,-167,0.909090909,-3,1,1
-1,0.384615385,-1,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-1,0.061538462,-3,-2,0,0,0,0.026315789,-1,-167,0.909090909,-3,1,0
-1,0.123076923,-1,-2,0,0,0,0.026315789,-1,-362,0.545454545,-2,1,0
-1,0.353846154,-1,-2,0,0,0,0,-1,-17,0.181818182,-1,1,0
-1,0.369230769,-1,-1,0,0,0,0.078947368,-1,-266,0.454545455,-1,0,0
-1,0.4,-1,-1,0,0,0,0,-2,-265,0.181818182,-1,0,0
-2,0.353846154,-1,-1,0,0,0,0,-1,-18,0.363636364,-1,0,0
-1,0.507692308,-2,-2,0,0,0,0.447368421,-2,-90,0.454545455,-1,1,0
-1,0.6,-2,-1,0,0,0,0.078947368,-1,-147,0.454545455,-1,0,0
-2,0.230769231,-1,-2,0,0,0,0.078947368,-2,-35,0.454545455,-1,1,0
-2,0.369230769,-1,-1,0,0,0,0,-2,-119,0.181818182,-1,0,0
-2,0.430769231,-2,-1,0,0,0,0.052631579,-1,-167,0.818181818,-3,0,0
-2,0.523076923,-2,-2,0,0,0,0.078947368,-1,-135,0.181818182,-1,1,0
-1,0.446153846,-2,-2,0,0,0,0.078947368,-1,-249,0.363636364,-1,1,0
-1,0.153846154,-1,-2,0,0,0,0.157894737,-2,-287,0.636363636,-2,1,1
-1,0.323076923,-1,-2,0,0,0,0.184210526,-1,-21,0.818181818,-3,1,1
-2,0.169230769,-1,-1,0,0,0,0,-2,-35,0.636363636,-2,0,0
-1,0.046153846,-3,-2,0.05,0,0,0.026315789,-1,-146,0.818181818,-3,1,1
-1,0.661538462,-2,-1,0,0,0,0.105263158,-1,-362,0.181818182,-1,0,0
-1,0.153846154,-1,-1,0,0,0,0.026315789,-1,-15,0.454545455,-1,0,0
-1,0.061538462,-3,-2,0,0,0,0,-1,-162,0.545454545,-2,1,0
-2,0.061538462,-3,-2,0,0,0,0.026315789,-1,-254,0.454545455,-1,1,0
-1,0.4,-1,-2,0,0,0,0.052631579,-1,-183,0.272727273,-1,1,0
-1,0.138461538,-1,-2,0,0,0.117647059,0.026315789,-2,-92,0.545454545,-2,1,0
-1,0.061538462,-3,-2,0,0,0,0.026315789,-1,-249,0.818181818,-3,1,0
-1,0.492307692,-2,-2,0,0,0,0.026315789,-1,-266,0.545454545,-2,1,0
-1,0.123076923,-1,-2,0,0,0,0.131578947,-1,-49,0.454545455,-1,1,0
-1,0.523076923,-2,-1,0,0,0,0.210526316,-1,-362,0.272727273,-1,0,0
-1,0.461538462,-2,-1,0,0,0,0.157894737,-1,-142,0.272727273,-1,0,0
-2,0.107692308,-1,-1,0,0,0,0,-1,-1,0.636363636,-2,0,0
-1,0.215384615,-1,-2,0,0,0,0.026315789,-2,-35,1,-3,1,0
-1,0.123076923,-1,-2,0,0,0,0,-1,-351,0.454545455,-1,1,0
-1,0.446153846,-2,-1,0,0,0,0.131578947,-2,-92,0.272727273,-1,0,0
-1,0.107692308,-1,-2,0,0,0,0.026315789,-1,-266,0.363636364,-1,1,0
-1,0.153846154,-1,-2,0,0,0.058823529,0.105263158,-1,-167,0.454545455,-1,1,0
-1,0.261538462,-1,-2,0,0,0,0,-1,-226,0.363636364,-1,1,0
-1,0.169230769,-1,-1,0,0,0,0.026315789,-1,-259,0.454545455,-1,0,0
-1,0.246153846,-1,-2,0,0,0,0,-1,-41,0.181818182,-1,1,0
-1,0.323076923,-1,-2,0,0,0,0.105263158,-1,-152,0.909090909,-3,1,0
-1,0.446153846,-2,-1,0,0,0,0.131578947,-2,-355,0.363636364,-1,0,1
-1,0.2,-1,-2,0,0,0,0.157894737,-2,-362,0.818181818,-3,1,0
-1,0.415384615,-2,-2,0,0,0,0,-1,-319,0.181818182,-1,1,0
-2,0.215384615,-1,-1,0,0,0,0.052631579,-2,-118,0.636363636,-2,0,0
-1,0.184615385,-1,-1,0,0,0,0,-1,-266,0.454545455,-1,0,0
-1,0.123076923,-1,-2,0,0,0,0.105263158,-1,-120,0.909090909,-3,1,0
-1,0.123076923,-1,-2,0,0.125,0,0.105263158,-2,-35,0.818181818,-3,1,1
-1,0.430769231,-2,-1,0,0,0,0.026315789,-2,-357,0.181818182,-1,0,0
-1,0.276923077,-1,-2,0,0,0,0.026315789,-1,-153,0.363636364,-1,1,0
-1,0.138461538,-1,-1,0,0,0,0.026315789,-1,-49,0.727272727,-2,0,1
-1,0.092307692,-3,-2,0,0,0,0.026315789,-1,-320,0.363636364,-1,1,0
-1,0.123076923,-1,-2,0,0.125,0.117647059,0.131578947,-1,-305,0.727272727,-2,1,1
-1,0.107692308,-1,-2,0,0,0,0.052631579,-1,-362,0.818181818,-3,1,0
-1,0.092307692,-3,-1,0,0,0,0,-1,-106,0.272727273,-1,0,0
-1,0.230769231,-1,-1,0,0,0,0,-1,-266,0.636363636,-2,0,1
-1,0.061538462,-3,-2,0,0,0,0,-1,-78,0.636363636,-2,1,0
-2,0.615384615,-2,-2,0,0,0,0.026315789,-1,-362,0.545454545,-2,1,0
-1,0.276923077,-1,-1,0,0,0,0,-1,-266,0.363636364,-1,0,0
-1,0.261538462,-1,-2,0,0,0,0,-1,-319,0.181818182,-1,1,0
-1,0.046153846,-3,-2,0,0,0,0,-1,-167,1,-3,1,1
-1,0.169230769,-1,-1,0,0,0,0,-2,-35,0.272727273,-1,0,0
-1,0.415384615,-2,-2,0,0,0,0.184210526,-1,-151,0.181818182,-1,1,0
-2,0.153846154,-1,-1,0,0,0,0.026315789,-2,-167,0.545454545,-2,0,0
-1,0.230769231,-1,-2,0,0,0,0.210526316,-1,-14,0.545454545,-2,1,0
-1,0.169230769,-1,-2,0,0,0,0.052631579,-1,-44,0.636363636,-2,1,0
-1,0.169230769,-1,-2,0,0,0,0,-1,-50,0.272727273,-1,1,0
-1,0.630769231,-2,-1,0,0,0,0.078947368,-2,-35,0.181818182,-1,0,0
-1,0.6,-2,-1,0,0,0,0,-2,-278,0.181818182,-1,0,0
-1,0.461538462,-2,-2,0,0,0,0,-2,-35,0.181818182,-1,1,0
-1,0.2,-1,-1,0,0,0,0,-1,-261,0.181818182,-1,0,0
-1,0.753846154,-2,-1,0,0,0,0.052631579,-1,-29,0.181818182,-1,0,0
-1,0.323076923,-1,-1,0,0,0,0,-1,-14,0.363636364,-1,0,0
-1,0.061538462,-3,-2,0,0,0.058823529,0.078947368,-1,-362,0.909090909,-3,1,0
-1,0.292307692,-1,-2,0,0,0,0.026315789,-1,-167,0.545454545,-2,1,0
-1,0.646153846,-2,-2,0,0,0,0.026315789,-1,-362,0.181818182,-1,1,0
-2,0.138461538,-1,-1,0,0,0,0,-2,-35,0.363636364,-1,0,0
-1,0.061538462,-3,-2,0,0,0,0.026315789,-1,-362,0.454545455,-1,1,0
-1,0.353846154,-1,-2,0,0,0,0,-1,-167,0.727272727,-2,1,0
-2,0.338461538,-1,-1,0,0,0,0,-1,-266,0.272727273,-1,0,0
-1,0.046153846,-3,-2,0,0,0,0.026315789,-1,-33,0.545454545,-2,1,0
-1,0.353846154,-1,-1,0,0,0,0.052631579,-1,-9,0.181818182,-1,0,0
-2,0.292307692,-1,-1,0,0,0,0,-2,-192,0.181818182,-1,0,0
-2,0.692307692,-2,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-1,0.138461538,-1,-2,0,0,0,0.078947368,-2,-35,0.727272727,-2,1,1
-1,0.446153846,-2,-2,0,0,0,0.131578947,-1,-362,0.454545455,-1,1,0
-2,0.092307692,-3,-1,0,0,0,0.026315789,-1,-362,0.545454545,-2,0,0
-1,0.430769231,-2,-1,0,0,0,0.078947368,-1,-362,0.454545455,-1,0,0
-1,0.261538462,-1,-2,0,0,0.058823529,0,-1,-259,0.363636364,-1,1,0
-1,0.030769231,-3,-2,0,0,0.058823529,0.052631579,-1,-274,0.727272727,-2,1,1
-1,0.215384615,-1,-2,0,0,0.058823529,0.210526316,-1,-353,0.909090909,-3,1,0
-1,0.107692308,-1,-2,0,0,0,0,-1,-362,0.363636364,-1,1,0
-1,0.2,-1,-1,0,0,0,0.184210526,-2,-124,0.363636364,-1,0,0
-2,0.107692308,-1,-1,0,0,0,0,-1,-167,0.454545455,-1,0,0
-1,0.153846154,-1,-2,0,0,0,0.026315789,-2,-35,0.727272727,-2,1,0
-1,0.076923077,-3,-2,0.05,0,0,0.026315789,-2,-35,0.909090909,-3,1,0
-1,0.292307692,-1,-2,0,0,0,0.157894737,-2,-35,0.181818182,-1,1,0
-1,0.569230769,-2,-2,0,0,0,0.026315789,-1,-362,0.181818182,-1,1,0
-1,0.184615385,-1,-2,0,0.125,0,0.368421053,-1,-40,0.454545455,-1,1,1
-1,0.261538462,-1,-2,0,0,0,0.105263158,-1,-362,0.454545455,-1,1,0
-2,0.353846154,-1,-2,0,0,0,0,-1,-53,0.181818182,-1,1,0
-2,0.384615385,-1,-2,0,0,0,0,-1,-167,0.636363636,-2,1,0
-1,0.246153846,-1,-2,0,0,0,0,-2,-210,0.181818182,-1,1,0
-1,0.107692308,-1,-1,0,0,0,0,-1,-265,0.363636364,-1,0,0
-1,0.107692308,-1,-1,0,0,0,0,-1,-167,0.363636364,-1,0,0
-2,0.415384615,-2,-1,0,0,0,0.078947368,-2,-35,0.363636364,-1,0,0
-1,0.276923077,-1,-2,0,0,0,0.052631579,-1,-120,0.545454545,-2,1,0
-2,0.138461538,-1,-1,0,0,0,0.157894737,-1,-162,1,-3,0,0
-1,0.430769231,-2,-2,0,0,0,0,-2,-35,0.181818182,-1,1,0
-1,0.107692308,-1,-2,0,0,0,0,-1,-220,0.727272727,-2,1,0
-1,0.323076923,-1,-1,0,0,0,0,-1,-162,0.272727273,-1,0,0
-2,0.369230769,-1,-1,0,0,0,0,-1,-63,0.181818182,-1,0,0
-1,0.046153846,-3,-2,0,0,0,0,-1,-167,0.454545455,-1,1,0
-1,0.261538462,-1,-2,0,0.5,1,0.315789474,-1,-219,0.909090909,-3,1,0
-2,0.630769231,-2,-1,0,0,0,0,-2,-92,0.181818182,-1,0,0
-1,0.184615385,-1,-2,0,0,0,0.105263158,-2,-118,0.727272727,-2,1,1
-1,0.507692308,-2,-2,0,0,0,0.368421053,-1,-362,0.545454545,-2,1,0
-1,0.169230769,-1,-1,0,0,0,0,-2,-224,0.181818182,-1,0,0
-1,0.4,-1,-1,0,0,0,0.131578947,-1,-362,0.272727273,-1,0,0
-1,0.323076923,-1,-1,0,0,0,0,-1,-362,0.363636364,-1,0,0
-2,0.138461538,-1,-1,0,0,0,0.026315789,-1,-362,0.545454545,-2,0,1
-2,0.046153846,-3,-2,0,0,0,0,-2,-35,0.545454545,-2,1,0
-1,0.230769231,-1,-2,0,0,0,0,-2,-287,0.727272727,-2,1,0
-1,0.184615385,-1,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-1,0.153846154,-1,-1,0,0,0,0,-1,-167,0.363636364,-1,0,0
-1,0.169230769,-1,-1,0,0,0,0.026315789,-2,-180,1,-3,0,0
-1,0.446153846,-2,-1,0,0,0,0.052631579,-1,-266,0.454545455,-1,0,0
-2,0.323076923,-1,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-2,0.384615385,-1,-1,0,0,0,0,-2,-35,0.272727273,-1,0,0
-1,0.246153846,-1,-2,0,0,0,0.052631579,-2,-35,0.272727273,-1,1,0
-1,0.061538462,-3,-2,0.05,0,0,0.026315789,-2,-35,0.727272727,-2,1,0
-1,0.169230769,-1,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-1,0.138461538,-1,-2,0,0,0,0.157894737,-1,-165,0.545454545,-2,1,0
-2,0.215384615,-1,-2,0,0,0,0.026315789,-2,-46,0.272727273,-1,1,0
-2,0.046153846,-3,-1,0,0,0,0,-1,-167,0.545454545,-2,0,0
-1,0.153846154,-1,-1,0,0,0,0.052631579,-1,-362,0.272727273,-1,0,1
-1,0.676923077,-2,-2,0,0,0,0.131578947,-1,-259,0.272727273,-1,1,0
-1,0.046153846,-3,-1,0,0,0,0.026315789,-1,-40,0.454545455,-1,0,0
-1,0.4,-1,-1,0,0,0,0.052631579,-2,-35,0.454545455,-1,0,0
-1,0.153846154,-1,-1,0,0,0,0.052631579,-1,-362,0.181818182,-1,0,0
-1,0.215384615,-1,-2,0,0,0,0.184210526,-1,-162,0.909090909,-3,1,1
-1,0.292307692,-1,-2,0.1,0.375,0,0.631578947,-1,-55,0.818181818,-3,1,0
-1,0.138461538,-1,-2,0,0,0,0,-1,-14,0.818181818,-3,1,1
-1,0.230769231,-1,-2,0,0,0,0.052631579,-2,-118,0.454545455,-1,1,0
-2,0.353846154,-1,-2,0,0,0,0,-2,-35,0.181818182,-1,1,0
-1,0.307692308,-1,-2,0,0,0,0.026315789,-1,-60,0.363636364,-1,1,0
-1,0.092307692,-3,-1,0,0,0,0.052631579,-2,-35,0.363636364,-1,0,0
-2,0.538461538,-2,-1,0,0,0,0,-1,-266,0.181818182,-1,0,0
-1,0.107692308,-1,-1,0,0,0,0,-1,-104,0.545454545,-2,0,0
-1,0.584615385,-2,-1,0,0,0,0.131578947,-1,-266,0.181818182,-1,0,0
-1,0.184615385,-1,-2,0,0,0,0.026315789,-1,-19,0.272727273,-1,1,0
-2,0.538461538,-2,-1,0,0,0,0,-2,-119,0.181818182,-1,0,0
-1,0.369230769,-1,-1,0,0,0,0,-1,-270,0.454545455,-1,0,0
-1,0.769230769,-2,-2,0,0,0,0,-2,-91,0.181818182,-1,1,0
-1,0.076923077,-3,-2,0,0,0.117647059,0.078947368,-1,-162,0.818181818,-3,1,1
-1,0.261538462,-1,-1,0,0,0,0,-2,-122,0.272727273,-1,0,0
-1,0.353846154,-1,-1,0,0,0,0.131578947,-1,-151,0.181818182,-1,0,0
-1,0.307692308,-1,-1,0,0,0,0.052631579,-2,-35,0.272727273,-1,0,0
-2,0.6,-2,-1,0,0,0,0.078947368,-1,-40,0.181818182,-1,0,0
-1,0.384615385,-1,-2,0,0,0,0.026315789,-2,-192,0.181818182,-1,1,0
-1,0.230769231,-1,-1,0,0,0,0.026315789,-2,-119,0.363636364,-1,0,1
-1,0.292307692,-1,-2,0,0,0,0.105263158,-1,-156,0.363636364,-1,1,0
-1,0.261538462,-1,-2,0,0,0,0,-2,-35,0.272727273,-1,1,0
-1,0.507692308,-2,-1,0,0,0,0,-2,-35,0.272727273,-1,0,0
-1,0.061538462,-3,-2,0,0,0,0.078947368,-1,-167,0.727272727,-2,1,0
-1,0.046153846,-3,-2,0,0.125,0.117647059,0.026315789,-1,-60,0.727272727,-2,1,0
-1,0.138461538,-1,-1,0,0,0,0,-1,-215,0.545454545,-2,0,0
-1,0.246153846,-1,-2,0,0,0,0.157894737,-1,-362,0.818181818,-3,1,1
-1,0.615384615,-2,-1,0,0,0,0,-2,-356,0.181818182,-1,0,0
-1,0.630769231,-2,-2,0,0,0,0.026315789,-2,-35,0.181818182,-1,1,0
-2,0.107692308,-1,-1,0,0,0,0,-2,-276,0.454545455,-1,0,0
-1,0.584615385,-2,-1,0,0,0,0.078947368,-2,-35,0.363636364,-1,0,0
-2,0.292307692,-1,-2,0,0,0,0.026315789,-1,-167,0.363636364,-1,1,0
-2,0.215384615,-1,-1,0,0,0,0.026315789,-1,-319,0.272727273,-1,0,0
-1,0.061538462,-3,-2,0,0,0,0,-2,-35,0.545454545,-2,1,0
-1,0.369230769,-1,-1,0,0,0,0.131578947,-1,-362,0.636363636,-2,0,0
-1,0.276923077,-1,-1,0,0,0,0.026315789,-1,-362,0.272727273,-1,0,0
-1,0.261538462,-1,-2,0,0,0,0,-2,-210,0.272727273,-1,1,0
-1,0.338461538,-1,-2,0,0,0,0.026315789,-1,-362,0.363636364,-1,1,0
-1,0.323076923,-1,-1,0,0,0,0,-2,-27,0.272727273,-1,0,0
-1,0.261538462,-1,-2,0,0,0,0.131578947,-1,-12,0.454545455,-1,1,1
-2,0.215384615,-1,-2,0,0,0,0.026315789,-1,-362,0.272727273,-1,1,0
-2,0.015384615,-3,-2,0,0,0,0.026315789,-1,-54,0.909090909,-3,1,1
-1,0.507692308,-2,-1,0,0,0,0.026315789,-1,-253,0.181818182,-1,0,1
-2,0.107692308,-1,-2,0,0,0,0.131578947,-2,-334,1,-3,1,0
-2,0.092307692,-3,-2,0,0,0,0,-2,-124,0.545454545,-2,1,0
-2,0.123076923,-1,-2,0,0,0,0.026315789,-1,-167,0.272727273,-1,1,0
-2,0.123076923,-1,-2,0,0,0,0.026315789,-2,-35,0.272727273,-1,1,0
-1,0.123076923,-1,-2,0,0,0,0.157894737,-2,-316,0.818181818,-3,1,0
-2,0.061538462,-3,-1,0,0,0.058823529,0.026315789,-2,-357,0.818181818,-3,0,0
-1,0.292307692,-1,-2,0,0,0,0.315789474,-1,-362,0.363636364,-1,1,0
-1,0.061538462,-3,-1,0,0,0.058823529,0,-1,-167,0.454545455,-1,0,0
-1,0.276923077,-1,-2,0,0,0,0.026315789,-2,-35,0.909090909,-3,1,0
-2,0.507692308,-2,-1,0,0,0,0.026315789,-2,-35,0.272727273,-1,0,0
-1,0.630769231,-2,-1,0,0,0,0,-2,-119,0.181818182,-1,0,0
-1,0.184615385,-1,-2,0,0,0,0.105263158,-2,-35,0.272727273,-1,1,1
-1,0.138461538,-1,-2,0,0,0,0.157894737,-1,-362,0.636363636,-2,1,0
-1,0.261538462,-1,-2,0,0,0,0.026315789,-2,-35,0.545454545,-2,1,0
-2,0.030769231,-3,-2,0.05,0,0,0.026315789,-1,-362,0.454545455,-1,1,0
-1,0.153846154,-1,-1,0,0,0,0.131578947,-1,-120,0.545454545,-2,0,0
-1,0.215384615,-1,-2,0,0.125,0.176470588,0.315789474,-2,-35,1,-3,1,1
-2,0.107692308,-1,-1,0,0,0,0.052631579,-1,-121,1,-3,0,0
-1,0.815384615,-2,-1,0,0,0,0.078947368,-2,-119,0.181818182,-1,0,0
-1,0.046153846,-3,-1,0,0,0,0,-1,-140,0.363636364,-1,0,1
-2,0.369230769,-1,-2,0,0,0,0.052631579,-2,-75,0.363636364,-1,1,0
-2,0.323076923,-1,-1,0,0,0,0,-2,-119,0,-3,0,0
-1,0.292307692,-1,-2,0,0,0,0.052631579,-1,-362,0.909090909,-3,1,0
-1,0.338461538,-1,-1,0,0,0,0.157894737,-1,-60,0.454545455,-1,0,0
-1,0.430769231,-2,-1,0,0,0,0.026315789,-1,-362,0.181818182,-1,0,0
-1,0.692307692,-2,-1,0,0,0,0.026315789,-1,-362,0.181818182,-1,0,0
-1,0.492307692,-2,-2,0.05,0,0,0.131578947,-1,-266,0.272727273,-1,1,0
-2,0.215384615,-1,-1,0,0,0.058823529,0.105263158,-1,-286,0.272727273,-1,0,0
-2,0.384615385,-1,-2,0,0,0,0.157894737,-1,-167,0.727272727,-2,1,0
-1,0.2,-1,-2,0,0,0,0.026315789,-2,-35,0.181818182,-1,1,0
-1,0.2,-1,-1,0,0,0,0.157894737,-2,-92,0.727272727,-2,0,0
-1,0.307692308,-1,-1,0,0,0,0,-2,-316,0.272727273,-1,0,0
-1,0.369230769,-1,-2,0,0,0,0.184210526,-2,-118,0.545454545,-2,1,0
-1,0.276923077,-1,-2,0,0,0,0.078947368,-2,-35,0.272727273,-1,1,1
-2,0.384615385,-1,-1,0,0,0,0,-2,-162,0.272727273,-1,0,0
-1,0.384615385,-1,-2,0,0,0,0.052631579,-2,-35,0.181818182,-1,1,0
-1,0.184615385,-1,-2,0,0,0,0.026315789,-1,-131,0.272727273,-1,1,0
-1,0.046153846,-3,-1,0,0,0,0.131578947,-1,-227,0.818181818,-3,0,1
-1,0.076923077,-3,-1,0,0,0,0.052631579,-1,-265,0.272727273,-1,0,0
-1,0.046153846,-3,-2,0,0,0,0,-1,-167,0.545454545,-2,1,0
-1,0.246153846,-1,-2,0,0,0.058823529,0.078947368,-1,-184,0.181818182,-1,1,1
-1,0.369230769,-1,-1,0,0,0,0,-2,-119,0.454545455,-1,0,0
-1,0.030769231,-3,-2,0,0,0,0,-1,-60,0.363636364,-1,1,0
-1,0.123076923,-1,-2,0,0,0,0,-2,-363,0.272727273,-1,1,0
